Namespace(K=1, adj_sq=False, batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='gcn_nobias_conv1d_scale200I', k=20, lr=0.001, model='semigcn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, resume='', scale_identity=True, seed=1, start_epoch=0, test_batch_size=16, use_sgd=False)
Using GPU : 0 from 1 devices
Test 41, loss: 1.704438, test acc: 0.852917, test avg acc: 0.808907
Train 42, loss: 1.542141, train acc: 0.891388, train avg acc: 0.839380
Test 42, loss: 1.694420, test acc: 0.847650, test avg acc: 0.793297
Train 43, loss: 1.538859, train acc: 0.894646, train avg acc: 0.848841
Test 43, loss: 1.685538, test acc: 0.849676, test avg acc: 0.801831
Train 44, loss: 1.536826, train acc: 0.893017, train avg acc: 0.841882
Test 44, loss: 1.739239, test acc: 0.837520, test avg acc: 0.802052
Train 45, loss: 1.534080, train acc: 0.895664, train avg acc: 0.850970
Test 45, loss: 1.688581, test acc: 0.841977, test avg acc: 0.788250
Train 46, loss: 1.532433, train acc: 0.896478, train avg acc: 0.845647
Test 46, loss: 1.688303, test acc: 0.846840, test avg acc: 0.793907
Train 47, loss: 1.532871, train acc: 0.895562, train avg acc: 0.849053
Test 47, loss: 1.704828, test acc: 0.849676, test avg acc: 0.816134
Train 48, loss: 1.532451, train acc: 0.895562, train avg acc: 0.848748
Test 48, loss: 1.695940, test acc: 0.839141, test avg acc: 0.794686
Train 49, loss: 1.533172, train acc: 0.895257, train avg acc: 0.844159
Test 49, loss: 1.685336, test acc: 0.862237, test avg acc: 0.810651
Train 50, loss: 1.527791, train acc: 0.896376, train avg acc: 0.845192
Test 50, loss: 1.661435, test acc: 0.848055, test avg acc: 0.792779
Train 51, loss: 1.526755, train acc: 0.898921, train avg acc: 0.854226
Test 51, loss: 1.704355, test acc: 0.853728, test avg acc: 0.801779
Train 52, loss: 1.516834, train acc: 0.903603, train avg acc: 0.857632
Test 52, loss: 1.695947, test acc: 0.848460, test avg acc: 0.808948
Train 53, loss: 1.517725, train acc: 0.904112, train avg acc: 0.858710
Test 53, loss: 1.684302, test acc: 0.861831, test avg acc: 0.816378
Train 54, loss: 1.516864, train acc: 0.899125, train avg acc: 0.851666
Test 54, loss: 1.689191, test acc: 0.849676, test avg acc: 0.805122
Train 55, loss: 1.514606, train acc: 0.901669, train avg acc: 0.855631
Test 55, loss: 1.668021, test acc: 0.863857, test avg acc: 0.815756
Train 56, loss: 1.518113, train acc: 0.902077, train avg acc: 0.856759
Test 56, loss: 1.667386, test acc: 0.860211, test avg acc: 0.817169
Train 57, loss: 1.515415, train acc: 0.904316, train avg acc: 0.862225
Test 57, loss: 1.706107, test acc: 0.856969, test avg acc: 0.815744
Train 58, loss: 1.513736, train acc: 0.901364, train avg acc: 0.854753
Test 58, loss: 1.673540, test acc: 0.837115, test avg acc: 0.786988
Train 59, loss: 1.511247, train acc: 0.906861, train avg acc: 0.863201
Test 59, loss: 1.681945, test acc: 0.853323, test avg acc: 0.813669
Train 60, loss: 1.497052, train acc: 0.912663, train avg acc: 0.872326
Test 60, loss: 1.681596, test acc: 0.855348, test avg acc: 0.817855
Train 61, loss: 1.496758, train acc: 0.909304, train avg acc: 0.866481
Test 61, loss: 1.689922, test acc: 0.855754, test avg acc: 0.818140
Train 62, loss: 1.488825, train acc: 0.914699, train avg acc: 0.872208
Test 62, loss: 1.684144, test acc: 0.862642, test avg acc: 0.817029
Train 63, loss: 1.486538, train acc: 0.914088, train avg acc: 0.874700
Test 63, loss: 1.664050, test acc: 0.860211, test avg acc: 0.815587
Train 64, loss: 1.486988, train acc: 0.917345, train avg acc: 0.877257
Test 64, loss: 1.676031, test acc: 0.871961, test avg acc: 0.819651
Train 65, loss: 1.486458, train acc: 0.915208, train avg acc: 0.874876
Test 65, loss: 1.687701, test acc: 0.850891, test avg acc: 0.812855
Train 66, loss: 1.485426, train acc: 0.915513, train avg acc: 0.874331
Test 66, loss: 1.679202, test acc: 0.853728, test avg acc: 0.819826
Train 67, loss: 1.476843, train acc: 0.922435, train avg acc: 0.887067
Test 67, loss: 1.678394, test acc: 0.859806, test avg acc: 0.818442
Train 68, loss: 1.477990, train acc: 0.918465, train avg acc: 0.882716
Test 68, loss: 1.675412, test acc: 0.861831, test avg acc: 0.814320
Train 69, loss: 1.479423, train acc: 0.916735, train avg acc: 0.879118
Test 69, loss: 1.727105, test acc: 0.835494, test avg acc: 0.803413
Train 70, loss: 1.476729, train acc: 0.919178, train avg acc: 0.880833
Test 70, loss: 1.682127, test acc: 0.854943, test avg acc: 0.822047
Train 71, loss: 1.477235, train acc: 0.918669, train avg acc: 0.882658
Test 71, loss: 1.667718, test acc: 0.861021, test avg acc: 0.819988
Train 72, loss: 1.478516, train acc: 0.918872, train avg acc: 0.879276
Test 72, loss: 1.659725, test acc: 0.856969, test avg acc: 0.824506
Train 73, loss: 1.467387, train acc: 0.923962, train avg acc: 0.889486
Test 73, loss: 1.687512, test acc: 0.867909, test avg acc: 0.826529
Train 74, loss: 1.469466, train acc: 0.923453, train avg acc: 0.887761
Test 74, loss: 1.710543, test acc: 0.855754, test avg acc: 0.810959
Train 75, loss: 1.471443, train acc: 0.921519, train avg acc: 0.885138
Test 75, loss: 1.677124, test acc: 0.873177, test avg acc: 0.833110
Train 76, loss: 1.473506, train acc: 0.921824, train avg acc: 0.886321
Test 76, loss: 1.693848, test acc: 0.852917, test avg acc: 0.807250
Train 77, loss: 1.466220, train acc: 0.923351, train avg acc: 0.888715
Test 77, loss: 1.657836, test acc: 0.863047, test avg acc: 0.832448
Train 78, loss: 1.465279, train acc: 0.923962, train avg acc: 0.888422
Test 78, loss: 1.658447, test acc: 0.865478, test avg acc: 0.837797
Train 79, loss: 1.468241, train acc: 0.921824, train avg acc: 0.886387
Test 79, loss: 1.681949, test acc: 0.849676, test avg acc: 0.812500
Train 80, loss: 1.457115, train acc: 0.926914, train avg acc: 0.893138
Test 80, loss: 1.673218, test acc: 0.860211, test avg acc: 0.838703
Train 81, loss: 1.452601, train acc: 0.929662, train avg acc: 0.897979
Test 81, loss: 1.679616, test acc: 0.867099, test avg acc: 0.835488
Train 82, loss: 1.445372, train acc: 0.930884, train avg acc: 0.898218
Test 82, loss: 1.665042, test acc: 0.869935, test avg acc: 0.827610
