Namespace(K=1, adj_sq=False, batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_stn_astf_hasbias_rjsrpsAug', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, resume='', scale_identity=False, seed=1, start_epoch=0, test_batch_size=16, use_sgd=False)
Using GPU : 0 from 1 devices
Namespace(K=1, adj_sq=False, batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_stn_astf_hasbias_rjsrpsAug', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, resume='', scale_identity=False, seed=1, start_epoch=0, test_batch_size=16, use_sgd=False)
Using GPU : 0 from 1 devices
Test 38, loss: 1.551404, test acc: 0.890194, test avg acc: 0.848826
Train 39, loss: 1.567754, train acc: 0.900753, train avg acc: 0.855766
Test 39, loss: 1.549582, test acc: 0.895057, test avg acc: 0.856570
Train 40, loss: 1.547918, train acc: 0.907268, train avg acc: 0.861416
Test 40, loss: 1.525779, test acc: 0.896272, test avg acc: 0.862174
Train 41, loss: 1.545222, train acc: 0.911645, train avg acc: 0.868137
Test 41, loss: 1.522841, test acc: 0.901540, test avg acc: 0.864640
Train 42, loss: 1.546826, train acc: 0.908489, train avg acc: 0.863080
Test 42, loss: 1.540610, test acc: 0.890600, test avg acc: 0.863640
Train 43, loss: 1.538071, train acc: 0.911645, train avg acc: 0.866506
Test 43, loss: 1.528404, test acc: 0.896272, test avg acc: 0.871820
Train 44, loss: 1.538396, train acc: 0.915615, train avg acc: 0.873768
Test 44, loss: 1.516583, test acc: 0.905997, test avg acc: 0.865174
Train 45, loss: 1.537320, train acc: 0.914393, train avg acc: 0.875401
Test 45, loss: 1.521239, test acc: 0.895462, test avg acc: 0.863349
Train 46, loss: 1.538137, train acc: 0.913986, train avg acc: 0.873261
Test 46, loss: 1.522869, test acc: 0.893841, test avg acc: 0.855680
Train 47, loss: 1.537380, train acc: 0.913884, train avg acc: 0.872523
Test 47, loss: 1.545440, test acc: 0.886953, test avg acc: 0.858186
Train 48, loss: 1.531997, train acc: 0.915004, train avg acc: 0.873983
Test 48, loss: 1.534347, test acc: 0.895462, test avg acc: 0.857895
Train 49, loss: 1.530642, train acc: 0.915513, train avg acc: 0.877770
Test 49, loss: 1.538715, test acc: 0.908023, test avg acc: 0.870640
Train 50, loss: 1.532173, train acc: 0.916938, train avg acc: 0.876584
Test 50, loss: 1.527200, test acc: 0.893436, test avg acc: 0.851593
Train 51, loss: 1.537444, train acc: 0.913172, train avg acc: 0.869774
