Namespace(K=1, adj_sq=False, batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='gcn_no_bias_conv1d', k=20, lr=0.001, model='semigcn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, resume='', scale_identity=False, seed=1, start_epoch=0, test_batch_size=16, use_sgd=False)
Using GPU : 0 from 1 devices
Namespace(K=1, adj_sq=False, batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='gcn_no_bias_conv1d', k=20, lr=0.001, model='semigcn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, resume='', scale_identity=False, seed=1, start_epoch=0, test_batch_size=16, use_sgd=False)
Using GPU : 0 from 1 devices
Namespace(K=1, adj_sq=False, batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='gcn_no_bias_conv1d', k=20, lr=0.001, model='semigcn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, resume='', scale_identity=False, seed=1, start_epoch=0, test_batch_size=16, use_sgd=False)
Using GPU : 0 from 1 devices
Test 36, loss: 1.763021, test acc: 0.802674, test avg acc: 0.747738
Train 37, loss: 1.612240, train acc: 0.858408, train avg acc: 0.797258
Test 37, loss: 1.731869, test acc: 0.815235, test avg acc: 0.769785
Train 38, loss: 1.611215, train acc: 0.853624, train avg acc: 0.791673
Test 38, loss: 1.726136, test acc: 0.822123, test avg acc: 0.774669
Train 39, loss: 1.607449, train acc: 0.860953, train avg acc: 0.802659
Test 39, loss: 1.695466, test acc: 0.837925, test avg acc: 0.791895
Train 40, loss: 1.574504, train acc: 0.872455, train avg acc: 0.817692
Test 40, loss: 1.691912, test acc: 0.840762, test avg acc: 0.791448
Train 41, loss: 1.573148, train acc: 0.871336, train avg acc: 0.814752
Test 41, loss: 1.697790, test acc: 0.839951, test avg acc: 0.793936
Train 42, loss: 1.574377, train acc: 0.869910, train avg acc: 0.814484
Test 42, loss: 1.716775, test acc: 0.840357, test avg acc: 0.784849
Train 43, loss: 1.564597, train acc: 0.876323, train avg acc: 0.823144
Test 43, loss: 1.708638, test acc: 0.837925, test avg acc: 0.789727
Train 44, loss: 1.565342, train acc: 0.876323, train avg acc: 0.822417
Test 44, loss: 1.703407, test acc: 0.837115, test avg acc: 0.797331
Train 45, loss: 1.559543, train acc: 0.881107, train avg acc: 0.828391
Test 45, loss: 1.666073, test acc: 0.852512, test avg acc: 0.795785
Train 46, loss: 1.551379, train acc: 0.883042, train avg acc: 0.833824
Test 46, loss: 1.697490, test acc: 0.842382, test avg acc: 0.786919
Train 47, loss: 1.557797, train acc: 0.878054, train avg acc: 0.825957
Test 47, loss: 1.727915, test acc: 0.829417, test avg acc: 0.789506
Train 48, loss: 1.561882, train acc: 0.876527, train avg acc: 0.822362
Test 48, loss: 1.704009, test acc: 0.833874, test avg acc: 0.796151
Train 49, loss: 1.557177, train acc: 0.879682, train avg acc: 0.825559
Test 49, loss: 1.707971, test acc: 0.845219, test avg acc: 0.797837
Train 50, loss: 1.559899, train acc: 0.879988, train avg acc: 0.827823
Test 50, loss: 1.696423, test acc: 0.835494, test avg acc: 0.796820
Train 51, loss: 1.545568, train acc: 0.884467, train avg acc: 0.834733
Test 51, loss: 1.751252, test acc: 0.818882, test avg acc: 0.767866
Train 52, loss: 1.538536, train acc: 0.885892, train avg acc: 0.836648
Test 52, loss: 1.727706, test acc: 0.832253, test avg acc: 0.790541
Train 53, loss: 1.552849, train acc: 0.881006, train avg acc: 0.826969
Test 53, loss: 1.743739, test acc: 0.823339, test avg acc: 0.782326
Train 54, loss: 1.550501, train acc: 0.884263, train avg acc: 0.833562
Test 54, loss: 1.747454, test acc: 0.826985, test avg acc: 0.776070
Train 55, loss: 1.538702, train acc: 0.886706, train avg acc: 0.837271
Test 55, loss: 1.701887, test acc: 0.848055, test avg acc: 0.790849
Train 56, loss: 1.540147, train acc: 0.888335, train avg acc: 0.838784
Test 56, loss: 1.730168, test acc: 0.837925, test avg acc: 0.793512
Train 57, loss: 1.537606, train acc: 0.888844, train avg acc: 0.838915
Test 57, loss: 1.702521, test acc: 0.845219, test avg acc: 0.798715
