Namespace(K=1, adj_sq=False, batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='gcn_nobias_conv1d_scaleI', k=20, lr=0.001, model='semigcn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, resume='', scale_identity=True, seed=1, start_epoch=0, test_batch_size=16, use_sgd=False)
Using GPU : 0 from 1 devices
Test 41, loss: 1.695368, test acc: 0.843193, test avg acc: 0.794971
Train 42, loss: 1.568624, train acc: 0.870012, train avg acc: 0.813548
Test 42, loss: 1.726505, test acc: 0.831037, test avg acc: 0.795890
Train 43, loss: 1.558487, train acc: 0.878970, train avg acc: 0.827576
Test 43, loss: 1.704253, test acc: 0.825770, test avg acc: 0.778128
Train 44, loss: 1.562926, train acc: 0.876018, train avg acc: 0.824053
Test 44, loss: 1.718057, test acc: 0.833063, test avg acc: 0.788297
Train 45, loss: 1.558317, train acc: 0.878868, train avg acc: 0.827752
Test 45, loss: 1.707061, test acc: 0.832658, test avg acc: 0.787936
Train 46, loss: 1.553853, train acc: 0.882227, train avg acc: 0.829062
Test 46, loss: 1.687931, test acc: 0.839141, test avg acc: 0.781453
Train 47, loss: 1.561869, train acc: 0.874695, train avg acc: 0.822153
Test 47, loss: 1.692106, test acc: 0.846840, test avg acc: 0.801657
Train 48, loss: 1.554139, train acc: 0.882227, train avg acc: 0.830331
Test 48, loss: 1.696917, test acc: 0.838736, test avg acc: 0.805070
Train 49, loss: 1.553012, train acc: 0.879784, train avg acc: 0.824446
Test 49, loss: 1.700456, test acc: 0.854943, test avg acc: 0.798442
Train 50, loss: 1.548643, train acc: 0.884467, train avg acc: 0.832030
Test 50, loss: 1.703055, test acc: 0.841572, test avg acc: 0.786140
Train 51, loss: 1.548936, train acc: 0.883652, train avg acc: 0.834252
Test 51, loss: 1.732520, test acc: 0.826985, test avg acc: 0.787285
Train 52, loss: 1.536299, train acc: 0.887826, train avg acc: 0.837426
Test 52, loss: 1.712168, test acc: 0.833063, test avg acc: 0.789215
Train 53, loss: 1.554777, train acc: 0.881311, train avg acc: 0.829905
Test 53, loss: 1.725771, test acc: 0.839546, test avg acc: 0.789378
Train 54, loss: 1.540000, train acc: 0.885790, train avg acc: 0.836126
Test 54, loss: 1.703672, test acc: 0.840762, test avg acc: 0.798477
Train 55, loss: 1.533528, train acc: 0.887928, train avg acc: 0.838151
Test 55, loss: 1.694085, test acc: 0.854133, test avg acc: 0.797802
Train 56, loss: 1.542356, train acc: 0.887317, train avg acc: 0.837719
Test 56, loss: 1.700187, test acc: 0.843193, test avg acc: 0.801221
Train 57, loss: 1.543493, train acc: 0.885485, train avg acc: 0.838966
Test 57, loss: 1.702920, test acc: 0.846029, test avg acc: 0.798628
Train 58, loss: 1.533979, train acc: 0.890574, train avg acc: 0.843292
Test 58, loss: 1.701934, test acc: 0.826985, test avg acc: 0.776081
Train 59, loss: 1.525373, train acc: 0.890472, train avg acc: 0.839779
Test 59, loss: 1.724033, test acc: 0.837925, test avg acc: 0.785041
Train 60, loss: 1.517288, train acc: 0.896274, train avg acc: 0.853094
Test 60, loss: 1.682063, test acc: 0.857780, test avg acc: 0.803703
Train 61, loss: 1.511844, train acc: 0.898107, train avg acc: 0.854552
Test 61, loss: 1.702656, test acc: 0.837115, test avg acc: 0.804895
Train 62, loss: 1.508179, train acc: 0.901975, train avg acc: 0.859933
